Domain,Status,Attractiveness,Demand,Length,Sectors,Created,Expires,Registrar
brief.university,available,124,19%,5,"Business,Education,General,Law",,,
complete.university,available,120,21%,8,"Manufacturing,Retail,Technology",,,
second.university,available,120,23%,6,"General,Mathematics",,,
tenth.university,available,116,7%,5,Mathematics,,,
flat.university,available,116,24%,4,"Construction,Real Estate",,,
equal.university,available,116,19%,5,"Education,General,Law",,,
tonic.university,available,114,22%,5,"Health and Fitness,Medicine,Science",,,
zero.university,resell,112,49%,4,Mathematics,24/06/2025 17:01,24/06/2026 17:01,Dynadot Inc
acute.university,available,112,9%,5,"Mathematics,Medicine,Science",,,
hotshot.university,available,112,14%,7,"Business,Entertainment,Sports",,,
abstract.university,available,108,29%,8,"Arts,Humanities,Science",,,
abiding.university,available,106,5%,7,"General,Religion",,,
expert.university,available,104,26%,6,"Business,Education,Technology",,,
captive.university,available,102,14%,7,"Entertainment,Hospitality,Technology",,,
extra.university,available,102,26%,5,"Fashion,Retail,Technology",,,
eight.university,available,102,23%,5,"General,Mathematics",,,
absent.university,available,102,8%,6,"Business,Education,Technology",,,
crack.university,available,100,20%,5,Sports,,,
ninth.university,available,100,9%,5,Mathematics,,,
eighth.university,available,100,6%,6,Mathematics,,,
third.university,available,100,16%,5,Mathematics,,,
adjunct.university,available,100,5%,7,Education,,,
sixth.university,available,100,8%,5,Mathematics,,,
whiz.university,available,100,12%,4,"Business,Education,Technology",,,
abrupt.university,available,100,3%,6,"Medicine,Science",,,
remove.university,available,100,13%,6,"Construction,Manufacturing,Technology",,,
whizz.university,available,98,11%,5,"Business,Education,Technology",,,
forgiving.university,available,96,3%,9,"Healthcare,Religion",,,
doable.university,available,96,9%,6,"Business,Education,Technology",,,
academic.university,available,96,20%,8,"Education,Humanities,Science",,,
alamode.university,available,96,12%,9,Fashion,,,
around.university,available,94,22%,6,"Business,General,Media,Technology",,,
abject.university,available,94,7%,6,Humanities,,,
about.university,available,94,28%,5,"Business,General,Media,Technology",,,
adequate.university,available,94,9%,8,"Education,Healthcare,Technology",,,
virtuoso.university,available,94,16%,8,"Arts,Entertainment",,,
adjective.university,available,92,5%,9,Education,,,
derelict.university,available,92,7%,8,"Construction,Real Estate",,,
neutral.university,available,92,20%,7,"Business,Media,Politics",,,
twentieth.university,available,92,3%,9,Mathematics,,,
nought.university,available,92,4%,6,Mathematics,,,
exemplary.university,available,92,5%,9,"Business,Education,Healthcare",,,
abortive.university,available,90,1%,8,"Medicine,Science",,,
addictive.university,available,90,9%,9,Healthcare,,,
leash.university,available,90,7%,5,"General,Health and Fitness,Retail",,,
gripping.university,available,90,3%,8,"Entertainment,Media,Technology",,,
additional.university,available,90,8%,10,"Fashion,Retail,Technology",,,
riveting.university,available,90,6%,8,"Entertainment,Media,Technology",,,
endearing.university,available,90,1%,9,"Entertainment,Fashion,Retail",,,
adoring.university,available,90,2%,7,"Entertainment,Fashion,Retail",,,
ten.university,available,88,28%,3,"General,Mathematics",,,
wide.university,available,88,18%,4,"Business,Media,Technology",,,
three.university,available,88,24%,5,Mathematics,,,
sixteen.university,available,88,11%,7,Mathematics,,,
activist.university,available,88,12%,8,"Humanities,Politics",,,
adlib.university,available,88,7%,6,Entertainment,,,
actionable.university,available,88,13%,10,"Business,Law",,,
proficient.university,available,88,8%,10,"Education,Health and Fitness,Sports",,,
twelve.university,available,88,18%,6,"General,Mathematics",,,
fifteen.university,available,88,13%,7,Mathematics,,,
eleven.university,available,88,33%,6,Mathematics,,,
attendant.university,available,86,5%,9,"Healthcare,Hospitality,Transportation",,,
adolescent.university,available,86,3%,10,"Education,Entertainment,Healthcare",,,
recondite.university,available,86,4%,9,"Arts,Humanities,Science",,,
extempore.university,available,86,3%,9,Entertainment,,,
engrossing.university,available,86,0%,10,"Entertainment,Media,Technology",,,
xiv.university,available,86,12%,3,Mathematics,,,
xix.university,available,86,11%,3,Mathematics,,,
thirteen.university,available,84,10%,8,Mathematics,,,
grand.university,available,84,25%,5,"Finance,General",,,
adjustable.university,available,84,3%,10,"Manufacturing,Retail,Technology",,,
seventeen.university,available,84,7%,9,Mathematics,,,
deviate.university,available,84,12%,7,"Medicine,Science",,,
twentyone.university,available,84,13%,10,Mathematics,,,
thousand.university,available,84,8%,8,Mathematics,,,
fourteen.university,available,84,8%,8,Mathematics,,,
accessory.university,available,84,8%,9,"Fashion,Retail,Technology",,,
nineteen.university,available,84,8%,8,Mathematics,,,
twentytwo.university,available,84,11%,10,Mathematics,,,
abroach.university,available,82,1%,7,Food and Beverage,,,
enduring.university,available,82,9%,8,"Health and Fitness,Religion",,,
abdominal.university,available,82,1%,9,"Health and Fitness,Medicine",,,
abenaki.university,available,82,2%,7,Geography,,,
impromptu.university,available,82,16%,9,Entertainment,,,
altered.university,available,82,9%,7,"Medicine,Science",,,
cleansing.university,available,82,3%,9,Health and Fitness,,,
absorbent.university,available,82,3%,9,"Healthcare,Manufacturing,Retail",,,
fivesome.university,available,82,1%,8,Sports,,,
abkhaz.university,available,82,1%,6,Geography,,,
good.university,available,82,47%,4,"Food and Beverage,General,Health and Fitness,Retail",,,
dozen.university,available,82,10%,5,Mathematics,,,
decade.university,available,82,10%,6,Mathematics,,,
worshipful.university,available,80,1%,10,"Education,Healthcare,Religion",,,
trio.university,available,80,21%,4,Entertainment,,,
forty.university,available,80,9%,5,Mathematics,,,
